id;name;description;creation_date;last_update_date;category_id
1;Investidor Borracha;cinza International grená;2023-10-08;2023-10-08;1
2;Técnico;azul;2023-10-08;2023-10-08;2
3;aliquid Refinado;Avançar Feminino Assistente;2023-10-07;2023-10-08;3
4;de Mercados;Plástico Feminino quaerat;2023-10-08;2023-10-08;4
5;Travessa Comunicações Pietro;Piauí Marketing Marca;2023-10-08;2023-10-07;5
6;Prestação Pequeno;escarlate;2023-10-07;2023-10-08;6
7;cobre Granito Grosso;Aplicações cenoura Branding;2023-10-08;2023-10-08;7
8;Central Distrito Arquiteto;esmeralda fúchsia;2023-10-08;2023-10-08;8
9;Futuro Diretor Jóias;repellendus Martinica Paraná;2023-10-08;2023-10-08;9
10;Mobilidade Oliveira;Segurança Supervisor;2023-10-08;2023-10-07;10
